hseb_code,school_code
7463,740030006
7446,740120002
7135,710120013
6111,610040011
5967,590040001
4965,490430008
4637,460590006
4573,450180015
4312,430190008
3995,390350004
3807,380280002
3701,370360005
3461,340200055
3406,340200173
3109,310200032
3070,300040015
3009,300020002
2758,270310062
2520,250020003
2442,240030001
2119,210020004
1775,170060334
1222,120520002
1016,100300003
908,90020002
711,70010006
667,60020003
537,50100021
5628,560190017
1322,130540001
8232,400320145
8011,40450001
7981,270310995
5026,500010002
4521,450020005
3953,390010004
3938,390030009
3658,360190002
2835,280060006
2731,270310504
1538,150970025
1319,130490003
3599,350050006
2727,270310968
2542,250270066
8344,50380034
7976,270280054
7901,270220010
7767,270230008
7257,720110087
7018,700130005
7002,700190001
6418,640150011
6018,600220002
5838,580030007
5716,570010008
5435,540040007
5027,500420008
4015,400420005
3136,310150001
3069,300050003
2654,260180011
2613,260040002
2475,240350002
2245,220190002
1980,190560008
1521,150230003
1457,140430055
1455,140440016
1310,130700001
735,70110003
726,70060005
681,60120001
306,30050005
2067,200530001
7968,270310720
7789,270510004
4983,490010012
3054,300340019
2045,200250040
8225,400320083
8030,40500008
7915,270130003
7527,750060005
7182,710070029
5104,510130008
4995,490630011
3884,380370006
3020,300160002
2511,250230010
2146,210180002
2127,210030004
1749,170040224
1645,160090006
1440,140010006
1318,130240010
743,70310013
680,60230014
633,60410007
482,40100005
3929,390440033
8413,490330016
7732,270410001
7700,270360002
7686,270290003
7671,270170004
7259,720140007
7167,710070005
7137,710100013
6004,600120001
5764,570190003
5755,570270003
4441,440110002
4413,440190006
4042,400320105
2438,240690004
2101,210260003
1829,180340038
1745,170830003
1315,130300001
322,30050004
314,30140005
234,20130002
5762,570230006
5666,560390040
8229,400320063
8036,40130002
7719,270310457
7431,740560003
7333,730030036
6705,670200005
6104,610050006
5820,580030014
5819,580130001
5690,560180003
4952,490630018
4424,440070002
3970,390440045
3217,320240001
1765,170100430
4991,490320014
2606,260120052
8714,710420008
8363,50360010
8259,400320152
8220,400320093
8029,40080009
7842,270380023
7674,270310550
7169,710090002
6047,600010011
5717,570250010
5633,560010009
5209,520360006
4979,490230003
4852,480210001
4442,440340001
3610,360500019
3137,310110003
2902,290100005
2819,280190006
2549,250230012
2477,240890005
2448,240060022
2420,240060024
1834,180340015
1426,140350002
1028,100010004
904,90180005
825,80220001
669,60090015
657,60010001
518,50320005
468,40100001
7308,730030028
8412,490220010
8347,50370003
8102,250090002
7973,270310620
7748,270080013
7528,750070010
6504,650130003
5727,570320016
5644,560070019
4846,480110417
3961,390040006
3360,330520053
673,60090019
7457,740030004
7241,720110109
6836,680100005
4517,450310023
3236,320130002
567,50640013
8441,490200005
7962,270280026
7511,750030003
7503,750330001
7110,710010031
6932,690690001
4776,470100005
4085,400320188
2836,280080032
2784,270310633
2713,270310224
2005,200250042
1858,180090019
1735,170300004
8316,50270011
7952,270230009
7685,270310884
7505,750020007
6430,640060005
5122,510340002
4099,400220036
2056,200200017
1517,150590007
1410,140270014
925,90080009
625,60110014
455,40100009
7809,270310477
7434,740160012
5687,560030011
2046,200080018
1716,170300005
591,50020009
2247,220040036
7802,270310013
6040,600020001
5205,520150003
2730,270520009
2038,200290013
347,30340017
8004,40010008
7119,710100060
5418,540420005
3826,380010015
3476,340190003
2793,270050010
1957,190100023
578,50640020
204,20050008
7972,270280004
7219,720090004
3702,370090011
2024,200130008
812,80020004
7640,270310743
6847,680340003
6415,640140018
2777,270310093
2019,200110002
1910,190390015
448,40370033
343,30150027
7874,270310772
2219,220340010
113,10440004
8716,710100058
7891,270280052
3471,340200019
2338,230110003
7307,730060002
5952,590480001
5946,590070029
3483,340200052
1852,180450007
609,60270071
7852,270380015
7440,740330001
1719,170170006
6019,600120026
5442,540100013
4522,450310025
416,40430012
3482,340200136
8512,350050089
8043,40030010
5331,530010006
5324,530010005
2703,270080010
1560,151030002
1523,150850001
661,60200009
5320,530430006
2783,270310240
2767,270310410
683,60270018
7670,270320005
342,30340024
8256,400220061
8034,40020003
7892,270280038
7447,740040005
6506,650100005
6802,680030001
5958,590480003
2493,240650036
822,80010004
8238,400320124
4928,490620012
1114,110260010
439,40190006
2016,200250039
7249,720120001
3949,390530009
2204,220030001
1936,190050007
5045,500420013
2240,220350001
1864,180270007
8366,50250003
7798,270310377
6839,680160003
6409,640020006
5963,590070025
5312,530230008
2816,280350010
2231,220190007
651,60420003
491,40380002
3454,340200025
1833,180090006
317,30090004
665,60230008
5215,520010002
3231,320310001
2244,220040005
1773,170840021
642,60160002
5953,590070053
1012,100150003
340,30060004
7320,730020009
7026,700010002
3615,360240004
3260,320040002
3008,300130014
2116,210180001
1209,120130005
1029,100400005
815,80040002
727,70110013
560,50640011
325,30020008
596,50190002
7159,710040004
6724,670110008
6123,610060009
6109,610120009
2474,240630001
1826,180420001
8703,710300010
6822,680020009
6318,630140007
6118,610040006
5211,520040007
4765,470090008
4434,440090001
1313,130190012
8434,490360003
7987,270530004
